,match_date,competition_name,competition_category,player_name,opponent_name,winner_flag,aces,breakpoints_won,double_faults,first_serve_points_won,first_serve_successful,games_won,max_games_in_a_row,max_points_in_a_row,points_won,points_spread,second_serve_points_won,second_serve_successful,service_games_won,service_points_lost,service_points_won,tiebreaks_won,total_breakpoints,first_serve_win_perc,second_serve_win_perc,breakpoint_conversion_perc,Month
47,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Friedsam, Anna-Lena","Mladenovic, Kristina",0,2,3,8,26,39,10,3,8,75,-4,17,28,7,32,43,0,6,66.66666666666667,47.22222222222222,50.0,January 2026
48,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Kraus, Sinja","Sevastova, Anastasija",1,3,7,4,41,53,18,4,7,107,11,19,39,11,36,60,0,15,77.35849056603773,44.18604651162791,46.666666666666664,January 2026
49,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Sevastova, Anastasija","Kraus, Sinja",0,3,4,2,42,70,14,3,7,96,-11,18,35,9,47,60,1,7,60.0,48.64864864864865,57.14285714285714,January 2026
50,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Bondar, Anna","Volynets, Katie",1,4,5,2,30,40,14,5,6,72,16,11,10,9,21,41,0,9,75.0,91.66666666666666,55.55555555555556,January 2026
51,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Volynets, Katie","Bondar, Anna",0,2,2,1,30,51,8,3,6,56,-16,5,14,6,31,35,0,5,58.8235294117647,33.33333333333333,40.0,January 2026
52,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Timofeeva, Maria","Sasnovich, Aliaksandra",0,5,5,3,25,53,10,3,7,69,-16,12,29,5,48,37,0,8,47.16981132075472,37.5,62.5,January 2026
53,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Sasnovich, Aliaksandra","Timofeeva, Maria",1,4,7,4,24,39,15,5,10,85,16,12,27,8,32,37,0,14,61.53846153846154,38.70967741935484,50.0,January 2026
54,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Shevchenko, Alexander","Collignon, Raphael",0,3,2,0,20,32,9,4,4,62,-6,16,28,7,24,36,0,4,62.5,57.14285714285714,50.0,January 2026
55,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Collignon, Raphael","Shevchenko, Alexander",1,12,4,6,31,42,13,5,7,68,6,13,22,9,26,44,0,9,73.80952380952381,46.42857142857143,44.44444444444444,January 2026
56,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Carreno Busta, Pablo","Bellucci, Mattia",1,8,2,2,42,55,15,2,6,90,0,19,32,12,28,61,1,5,76.36363636363636,55.88235294117647,40.0,January 2026
57,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Bellucci, Mattia","Carreno Busta, Pablo",0,13,3,3,47,59,16,3,10,90,0,15,29,13,29,62,0,6,79.66101694915254,46.875,50.0,January 2026
58,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Cazaux, Arthur","Landaluce, Martin",1,9,3,1,30,36,12,5,12,68,25,7,9,9,9,37,0,8,83.33333333333333,70.0,37.5,January 2026
59,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Landaluce, Martin","Cazaux, Arthur",0,3,0,6,23,38,5,1,5,43,-25,11,21,4,31,34,0,0,60.526315789473685,40.74074074074074,,January 2026
60,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Quevedo, Kaitlin","Monnet, Carole",1,10,6,8,54,79,18,5,8,107,15,17,31,12,47,71,0,11,68.35443037974683,43.58974358974359,54.54545454545454,January 2026
61,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Monnet, Carole","Quevedo, Kaitlin",0,2,3,9,29,51,12,3,8,92,-15,16,22,8,36,45,1,15,56.86274509803921,51.61290322580645,20.0,January 2026
62,2026-01-03,United Cup,United Cup,"Bergs, Zizou","Zhang, Zhizhen",0,18,0,5,58,75,18,1,5,115,-4,29,46,17,39,87,1,0,77.33333333333333,56.86274509803921,,January 2026
63,2026-01-03,United Cup,United Cup,"Zhang, Zhizhen","Bergs, Zizou",1,12,1,0,59,71,20,3,7,119,4,21,37,18,28,80,1,10,83.09859154929578,56.75675675675676,10.0,January 2026
64,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Fearnley, Jacob","Sweeny, Dane",0,7,2,6,27,46,7,3,4,61,-16,7,13,5,31,34,0,5,58.69565217391305,36.84210526315789,40.0,January 2026
65,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Sweeny, Dane","Fearnley, Jacob",1,3,4,1,25,38,13,5,6,77,16,21,34,8,27,46,1,7,65.78947368421052,60.0,57.14285714285714,January 2026
