,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
66,"Gaston, Hugo",2,17,13,32,11,130,183,42,93,11,0.7103825136612022,0.45161290322580644,0.40625,52.5,208.0,36.0,70.0,103.0,192.0,107.0,109.78571428571429,114.0,2026-01-12
67,"Gauff, Coco",3,5,18,35,28,106,155,31,55,29,0.6838709677419355,0.5636363636363636,0.5142857142857142,152.0,227.0,18.0,21.0,128.0,96.0,51.0,99.0,89.0,2026-01-12
68,Gille S / Minnen G,0,3,2,10,0,29,43,17,29,-12,0.6744186046511628,0.5862068965517241,0.2,176.5,9.5,183.0,151.5,136.5,73.5,190.5,131.57142857142858,155.0,2026-01-12
69,"Giron, Marcos",2,9,11,24,5,90,129,33,57,26,0.6976744186046512,0.5789473684210527,0.4583333333333333,103.0,147.0,36.0,27.0,115.5,80.5,86.0,85.0,63.0,2026-01-12
70,"Glinka, Daniil",1,12,7,14,2,40,65,19,36,7,0.6153846153846154,0.5277777777777778,0.5,74.0,67.0,93.0,87.5,179.0,128.0,66.5,99.28571428571429,90.0,2026-01-12
71,Griekspoor T / Schuurs D,0,4,1,3,1,20,35,4,9,-22,0.5714285714285714,0.4444444444444444,0.3333333333333333,161.5,32.0,183.0,197.5,201.0,195.5,140.0,158.64285714285714,194.5,2026-01-12
72,"Griekspoor, Tallon",0,7,0,2,3,45,69,16,30,-49,0.6521739130434783,0.5333333333333333,0.0,124.5,101.0,183.0,226.0,158.0,120.0,210.0,160.35714285714286,199.0,2026-01-12
73,"Halys, Quentin",5,69,9,30,15,221,271,58,109,37,0.8154981549815498,0.5321100917431193,0.3,4.0,220.5,2.5,10.0,19.0,122.0,158.0,76.57142857142857,40.0,2026-01-12
74,"Hanfmann, Yannick",0,10,1,2,1,36,46,6,14,-10,0.782608695652174,0.42857142857142855,0.5,94.0,32.0,183.0,141.0,43.0,200.5,66.5,108.57142857142857,109.0,2026-01-12
75,Harper C / Mboko V,0,0,3,6,1,23,34,8,19,-5,0.6764705882352942,0.42105263157894735,0.5,221.5,32.0,183.0,120.5,134.0,204.0,66.5,137.35714285714286,161.0,2026-01-12
76,"Harris, Billy",1,8,4,6,6,70,92,33,55,-1,0.7608695652173914,0.6,0.6666666666666666,111.5,163.0,93.0,111.5,59.0,59.5,23.5,88.71428571428571,74.0,2026-01-12
77,Harrison C / Gauff C,2,10,12,26,9,86,133,32,53,28,0.6466165413533834,0.6037735849056604,0.46153846153846156,94.0,193.0,36.0,23.0,165.0,57.0,84.5,93.21428571428571,77.5,2026-01-12
78,"Hassan, Benjamin",1,6,4,6,1,49,73,18,34,13,0.6712328767123288,0.5294117647058824,0.6666666666666666,139.5,32.0,93.0,60.0,143.0,126.5,23.5,88.21428571428571,72.0,2026-01-12
79,"Heide, Gustavo",1,8,3,11,3,40,62,1,1,10,0.6451612903225806,1.0,0.2727272727272727,111.5,101.0,93.0,75.0,166.5,1.5,167.5,102.28571428571429,97.0,2026-01-12
80,"Helgo, Malene",0,4,4,7,5,49,80,23,50,-28,0.6125,0.46,0.5714285714285714,161.5,147.0,183.0,215.5,180.0,186.0,37.5,158.64285714285714,194.5,2026-01-12
81,"Herbert, Pierre-Hugues",1,7,3,3,2,41,50,11,20,12,0.82,0.55,1.0,124.5,67.0,93.0,64.5,16.0,106.0,5.5,68.07142857142857,24.5,2026-01-12
82,"Hewitt, Cruz",0,3,3,5,1,29,52,7,15,-10,0.5576923076923077,0.4666666666666667,0.6,176.5,32.0,183.0,141.0,209.0,180.5,34.0,136.57142857142858,159.0,2026-01-12
83,"Hijikata, Rinky",2,23,9,22,5,116,155,42,70,24,0.7483870967741936,0.6,0.4090909090909091,31.0,147.0,36.0,31.0,73.0,59.5,105.0,68.92857142857143,29.0,2026-01-12
84,"Holmgren, August",0,8,0,3,0,30,41,5,10,-9,0.7317073170731707,0.5,0.0,111.5,9.5,183.0,135.0,81.5,152.0,210.0,126.07142857142857,143.0,2026-01-12
85,"Holt, Brandon",1,10,4,13,1,44,57,14,34,11,0.7719298245614035,0.4117647058823529,0.3076923076923077,94.0,32.0,93.0,70.0,52.0,206.5,154.0,100.21428571428571,92.0,2026-01-12
86,"Hsu, Yu Hsiou",0,6,2,6,1,43,59,8,21,-4,0.7288135593220338,0.38095238095238093,0.3333333333333333,139.5,32.0,183.0,117.0,86.0,217.0,140.0,130.64285714285714,153.0,2026-01-12
