,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
3161,"Stefanini, Lucrezia",1,1.0,11.0,19.0,5.0,73.0,125.0,23.0,40.0,8.0,0.584,0.575,0.5789473684210527,3086.0,1176.5,1982.0,1131.5,2451.5,823.5,602.0,1607.571428571429,1269.0,February 2026,2026-07-02
3183,"Stoiana, Mary",0,3.0,4.0,6.0,2.0,33.0,64.0,13.0,20.0,-13.0,0.515625,0.65,0.6666666666666666,2388.5,408.0,3127.0,2380.5,3304.5,196.5,276.5,1725.928571428571,1531.0,February 2026,2026-07-02
3197,"Strakhova, Valeriya",0,1.0,3.0,4.0,2.0,33.0,46.0,20.0,20.0,-15.0,0.717391304347826,1.0,0.75,3086.0,408.0,3127.0,2537.5,235.0,8.0,158.0,1365.642857142857,754.0,February 2026,2026-07-02
3209,"Sun, Lulu",0,8.0,3.0,12.0,9.0,65.0,106.0,13.0,30.0,-30.0,0.6132075471698113,0.4333333333333333,0.25,1414.0,1960.5,3127.0,3478.0,1898.0,3141.5,3409.0,2632.5714285714284,3404.0,February 2026,2026-07-02
3224,"Svitolina, Elina",5,31.0,28.0,51.0,24.0,215.0,322.0,73.0,151.0,35.0,0.6677018633540373,0.4834437086092715,0.5490196078431373,194.5,3388.0,287.0,452.0,817.0,2495.0,781.0,1202.071428571429,447.0,February 2026,2026-07-02
3244,"Swiatek, Iga",2,16.0,18.0,38.0,7.0,93.0,139.0,39.0,71.0,50.0,0.6690647482014388,0.5492957746478874,0.4736842105263157,692.5,1614.0,1270.5,266.0,797.0,1249.0,1591.0,1068.571428571429,255.0,February 2026,2026-07-02
3292,"Tauson, Clara",5,44.0,30.0,64.0,25.0,215.0,295.0,79.0,155.0,59.0,0.7288135593220338,0.5096774193548387,0.46875,65.0,3438.0,287.0,182.5,179.0,2012.0,1643.0,1115.2142857142858,313.0,February 2026,2026-07-02
3327,"Timofeeva, Maria",2,1.0,17.0,32.0,8.0,70.0,124.0,24.0,55.0,27.0,0.5645161290322581,0.4363636363636363,0.53125,3086.0,1796.0,1270.5,588.5,2766.5,3113.5,929.0,1935.7142857142856,1993.0,February 2026,2026-07-02
3341,"Tjen, Janice",4,25.0,23.0,51.0,33.0,177.0,281.0,82.0,144.0,-26.0,0.6298932384341637,0.5694444444444444,0.4509803921568627,313.5,3658.5,484.5,3307.5,1554.5,920.0,1840.0,1725.5,1529.0,February 2026,2026-07-02
3350,"Tkacheva, Mariia",0,0.0,0.0,0.0,3.0,12.0,26.0,8.0,15.0,-24.0,0.4615384615384615,0.5333333333333333,,3568.5,661.0,3127.0,3211.5,3597.0,1558.5,,2620.583333333333,3388.0,February 2026,2026-07-02
