,player_name,Month,total_wins,total_matches,aces,aces_allowed,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,breakpoints_allowed,breakpoints_saved,first_serve_return_points_won,first_serve_return_points_total,second_serve_return_points_won,second_serve_return_points_total,points_won,points_lost,points_spread,games_won,games_lost,games_spread,sets_won,sets_lost,sets_spread,tiebreaks_won,tiebreaks_lost,FS Win %,SS Win %,BP Conv %,Tiebreak Win %,BP Save %,FS Return Win %,SS Return Win %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
143,"Baptiste, Hailey",September 2025,0,1,5,0,4,5,10,52,78,10,21,16,11,47,76,8,8,103,110,-7,16,18,-2,1,2,-1,0,0,0.6666666666666666,0.47619047619047616,0.8,,0.6875,0.618421052631579,1.0,1343.0,1435.5,2141.0,1302.5,589.0,1795.5,82.0,1241.2142857142858,1152.0,2026-01-28
144,"Bara, Irina Maria",April 2025,0,1,0,0,5,8,3,21,49,8,16,17,10,21,41,14,14,65,72,-7,8,12,-4,0,2,-2,0,0,0.42857142857142855,0.5,0.625,,0.5882352941176471,0.5121951219512195,1.0,2455.0,434.0,2141.0,1302.5,2545.0,1509.0,263.5,1521.4285714285713,1756.0,2026-01-28
145,"Bara, Irina Maria",July 2025,0,1,0,0,5,7,3,18,44,12,22,9,1,26,47,11,11,62,83,-21,10,16,-6,1,2,-1,0,0,0.4090909090909091,0.5454545454545454,0.7142857142857143,,0.1111111111111111,0.5531914893617021,1.0,2455.0,434.0,2141.0,2066.5,2566.0,915.5,132.5,1530.0714285714287,1777.0,2026-01-28
146,"Bara, Irina Maria",March 2025,2,2,0,0,15,23,13,43,81,23,34,21,12,40,85,18,18,139,112,27,25,15,10,4,0,4,0,0,0.5308641975308642,0.6764705882352942,0.6521739130434783,,0.5714285714285714,0.47058823529411764,1.0,2455.0,1700.0,873.5,413.5,2217.0,75.0,222.5,1136.642857142857,961.0,2026-01-28
147,"Baroudi, Leah",February 2025,0,1,1,0,0,0,6,13,31,2,2,8,3,27,29,0,0,18,52,-34,2,12,-10,0,2,-2,0,0,0.41935483870967744,1.0,,,0.375,0.9310344827586207,,2138.5,943.0,2141.0,2453.5,2557.5,9.0,,1707.0833333333333,2148.0,2026-01-28
148,"Barros, Victoria Luiza",September 2025,0,1,0,0,3,10,2,18,27,10,26,6,1,34,50,12,12,64,74,-10,7,12,-5,0,2,-2,0,0,0.6666666666666666,0.38461538461538464,0.3,,0.16666666666666666,0.68,1.0,2455.0,256.5,2141.0,1432.0,589.0,2382.5,2240.0,1642.2857142857142,2029.0,2026-01-28
149,"Barry, Monique",January 2026,0,1,1,0,1,3,2,12,28,4,11,6,1,25,33,7,7,34,60,-26,3,12,-9,0,2,-2,0,0,0.42857142857142855,0.36363636363636365,0.3333333333333333,,0.16666666666666666,0.7575757575757576,1.0,2138.5,256.5,2141.0,2265.0,2545.0,2441.0,2116.0,1986.142857142857,2549.5,2026-01-28
150,"Bartashevich, Yara",May 2025,0,1,2,0,1,5,1,22,44,13,29,9,4,28,35,9,9,51,72,-21,5,12,-7,0,2,-2,0,0,0.5,0.4482758620689655,0.2,,0.4444444444444444,0.8,1.0,1882.0,110.0,2141.0,2066.5,2369.5,2065.5,2438.5,1867.5714285714287,2409.0,2026-01-28
151,"Barthel, Mona",August 2025,0,1,1,0,3,7,8,22,38,9,22,11,5,25,35,14,14,58,70,-12,6,12,-6,0,2,-2,0,0,0.5789473684210527,0.4090909090909091,0.42857142857142855,,0.45454545454545453,0.7142857142857143,1.0,2138.5,1217.0,2141.0,1541.0,1790.5,2289.0,1470.5,1798.2142857142858,2303.0,2026-01-28
152,"Barthel, Mona",January 2025,0,1,6,0,0,1,6,13,20,2,11,4,0,24,36,4,4,32,57,-25,3,12,-9,0,2,-2,0,0,0.65,0.18181818181818182,0.0,,0.0,0.6666666666666666,1.0,1211.5,943.0,2141.0,2231.0,812.5,2605.5,2556.5,1785.857142857143,2284.0,2026-01-28
153,"Barthel, Mona",June 2025,0,1,1,0,3,14,2,16,33,12,23,5,0,37,55,11,11,61,77,-16,7,13,-6,0,2,-2,0,1,0.48484848484848486,0.5217391304347826,0.21428571428571427,0.0,0.0,0.6727272727272727,1.0,2138.5,256.5,2141.0,1771.0,2428.5,1218.0,2420.5,1767.7142857142858,2252.0,2026-01-28
154,"Barthel, Mona",May 2025,0,1,0,0,3,4,4,10,26,4,14,10,3,16,28,5,5,33,52,-19,4,12,-8,0,2,-2,0,0,0.38461538461538464,0.2857142857142857,0.75,,0.3,0.5714285714285714,1.0,2455.0,617.0,2141.0,1957.0,2587.0,2564.5,111.0,1776.0714285714287,2270.0,2026-01-28
155,"Bartunkova, Nikola",January 2026,5,6,13,0,25,40,29,130,205,65,140,46,22,128,222,48,48,356,343,13,59,55,4,8,4,4,1,0,0.6341463414634146,0.4642857142857143,0.625,1.0,0.4782608695652174,0.5765765765765766,1.0,622.5,2440.5,193.5,657.0,1048.0,1918.0,263.5,1020.4285714285714,688.0,2026-01-28
156,"Bartunkova, Nikola",October 2025,0,2,5,0,6,16,14,58,106,11,25,18,9,84,140,7,7,141,166,-25,17,25,-8,1,4,-3,0,0,0.5471698113207547,0.44,0.375,,0.5,0.6,1.0,1343.0,1784.5,2141.0,2231.0,2083.5,2127.0,1897.0,1943.857142857143,2513.0,2026-01-28
157,"Bartunkova, Nikola",September 2025,3,4,16,0,10,26,22,82,116,56,87,22,16,109,172,39,39,251,227,24,37,29,8,7,2,5,1,0,0.7068965517241379,0.6436781609195402,0.38461538461538464,1.0,0.7272727272727273,0.6337209302325582,1.0,482.0,2238.0,545.0,464.0,216.0,141.0,1843.0,847.0,347.5,2026-01-28
